algorithm,n,time_ns,comparisons,allocations,partitions
Select(MoM5),1000,43500,5793,0,60
Select(MoM5),1000,42600,5719,0,58
Select(MoM5),1000,40600,5676,0,57
Select(MoM5),1000,44200,5738,0,58
Select(MoM5),1000,40300,5606,0,55
Select(MoM5),1000,43400,5675,0,58
Select(MoM5),1000,39200,5517,0,55
Select(MoM5),1000,44400,5819,0,59
Select(MoM5),1000,59200,5787,0,60
Select(MoM5),1000,41400,5619,0,56
Select(MoM5),1000,41900,5448,0,51
Select(MoM5),1000,41400,5747,0,60
Select(MoM5),1000,55400,5710,0,57
Select(MoM5),1000,44300,5775,0,58
Select(MoM5),1000,46400,5833,0,59
Select(MoM5),1000,51800,5623,0,57
Select(MoM5),1000,50200,5436,0,52
Select(MoM5),1000,48200,5666,0,55
Select(MoM5),1000,55900,5788,0,58
Select(MoM5),1000,50600,5528,0,53
Select(MoM5),10000,1117800,62479,0,256
Select(MoM5),10000,586100,64912,0,260
Select(MoM5),10000,426200,61155,0,240
Select(MoM5),10000,412800,62275,0,239
Select(MoM5),10000,610900,61067,0,239
Select(MoM5),10000,506400,58451,0,215
Select(MoM5),10000,447900,60565,0,230
Select(MoM5),10000,342400,63698,0,238
Select(MoM5),10000,349200,61650,0,246
Select(MoM5),10000,498100,61137,0,244
Select(MoM5),10000,384200,62818,0,248
Select(MoM5),10000,388000,63441,0,254
Select(MoM5),10000,353500,63313,0,249
Select(MoM5),10000,339900,63342,0,242
Select(MoM5),10000,347000,64415,0,257
Select(MoM5),10000,302800,61742,0,247
Select(MoM5),10000,295000,62960,0,248
Select(MoM5),10000,311400,62767,0,238
Select(MoM5),10000,311200,60947,0,241
Select(MoM5),10000,464500,63145,0,254
Select(MoM5),10000,429700,62953,0,247
Select(MoM5),10000,422200,62687,0,253
Select(MoM5),10000,440400,62371,0,244
Select(MoM5),10000,440800,63504,0,260
Select(MoM5),10000,417100,63481,0,250
Select(MoM5),10000,423100,62384,0,241
Select(MoM5),10000,324000,63125,0,245
Select(MoM5),10000,320300,63820,0,261
Select(MoM5),10000,345600,62422,0,246
Select(MoM5),10000,337100,63268,0,249
Select(MoM5),10000,343200,62674,0,251
Select(MoM5),10000,325300,60776,0,241
Select(MoM5),10000,322000,60750,0,230
Select(MoM5),10000,380400,61722,0,241
Select(MoM5),10000,337400,62740,0,237
Select(MoM5),10000,333300,62715,0,255
Select(MoM5),10000,313700,62914,0,245
Select(MoM5),10000,321100,63013,0,254
Select(MoM5),10000,315200,63208,0,255
Select(MoM5),10000,287700,62171,0,234
Select(MoM5),10000,285800,62511,0,236
Select(MoM5),10000,402100,62189,0,246
Select(MoM5),10000,518000,61794,0,252
Select(MoM5),10000,592200,61248,0,238
Select(MoM5),10000,517900,64963,0,261
Select(MoM5),10000,442100,62902,0,258
Select(MoM5),10000,432700,62471,0,239
Select(MoM5),10000,415700,63117,0,243
Select(MoM5),10000,426000,62666,0,257
Select(MoM5),10000,409100,64596,0,251
Select(MoM5),10000,401900,62037,0,229
Select(MoM5),10000,420800,61284,0,240
Select(MoM5),10000,405500,65002,0,259
Select(MoM5),10000,433100,63259,0,250
Select(MoM5),10000,425500,62627,0,253
Select(MoM5),10000,422100,64632,0,258
Select(MoM5),10000,428000,63364,0,248
Select(MoM5),10000,414900,64670,0,256
Select(MoM5),10000,414700,62734,0,254
Select(MoM5),10000,365900,61960,0,247
Select(MoM5),10000,360800,62722,0,248
Select(MoM5),10000,367800,60697,0,231
Select(MoM5),10000,368500,61649,0,243
Select(MoM5),10000,319300,61379,0,248
Select(MoM5),10000,331100,62230,0,248
Select(MoM5),10000,313300,62313,0,242
Select(MoM5),10000,321200,62235,0,238
Select(MoM5),10000,321100,62902,0,249
Select(MoM5),10000,338800,61438,0,242
Select(MoM5),10000,324700,63079,0,240
Select(MoM5),10000,330300,61017,0,239
Select(MoM5),10000,306200,63156,0,229
Select(MoM5),10000,318500,62185,0,251
Select(MoM5),10000,333100,63170,0,245
Select(MoM5),10000,329600,62980,0,246
Select(MoM5),10000,332300,63196,0,248
Select(MoM5),10000,311000,63381,0,259
Select(MoM5),10000,272000,62121,0,232
Select(MoM5),10000,314800,62047,0,246
Select(MoM5),10000,331200,62698,0,253
Select(MoM5),10000,339300,60818,0,240
Select(MoM5),10000,314200,61833,0,245
Select(MoM5),10000,326300,62343,0,241
Select(MoM5),10000,297900,61869,0,235
Select(MoM5),10000,298800,62052,0,246
Select(MoM5),10000,292800,62889,0,254
Select(MoM5),10000,319600,61467,0,240
Select(MoM5),10000,279700,59998,0,229
Select(MoM5),10000,305600,62030,0,249
Select(MoM5),10000,305200,62875,0,234
Select(MoM5),10000,323800,63154,0,253
Select(MoM5),10000,290600,60471,0,230
Select(MoM5),10000,310800,63543,0,241
Select(MoM5),10000,298600,63971,0,248
Select(MoM5),10000,283100,57896,0,209
Select(MoM5),10000,292200,62205,0,228
Select(MoM5),10000,300400,62415,0,252
Select(MoM5),10000,303100,63915,0,250
Select(MoM5),10000,327900,61127,0,240
Select(MoM5),10000,332300,61701,0,243
